group,group_23
group_01,0.4698808822225703
group_02,0.25356194434852025
group_03,0.04113766756037164
group_04,-0.47368648068905006
group_05,0.8446261040021972
group_07,0.5648157377355827
group_08,0.2015692993023179
group_09,0.6189899504501789
group_10,0.335148120686317
group_11,0.5902562050842407
group_12,0.5584893708554272
group_13,0.9020177465171224
group_14,0.571671680808397
group_15,0.638087722325548
group_16,0.7452329624250323
group_17,0.7103790867475248
group_18,-0.15818743765778964
group_19,0.4334560655435579
group_20,0.6605782590758164
group_21,0.1552301051412666
group_22,0.6757246285173462
group_23,1.0
group_24,0.6324555320336757
group_25,0.8013967755311363
